Défi,Livrable,Tâche,Fait le,Cat,OK
BrigadeNumérique,,Atelier avec département qui définit prise de RdV,<2018-02-23 ven.>,U,
BrigadeNumérique,,Recette/Validation suite à la livraison/correction,<2018-02-23 ven.>,P,
CoachÉlèves,,https://arachez.shinyapps.io/quickwin/,<2018-02-23 ven.>,P,
CoachÉlèves,,Point feuille de route,<2018-02-23 ven.>,M,
CoachÉlèves,,Interview d’une Start-up,<2018-02-23 ven.>,M,
CoachÉlèves,,Rencontre DSI,<2018-02-23 ven.>,M,
DataESR,,Réunion de cadrage du projet,<2018-02-23 ven.>,M,
DataESR,,Exploration de la base centrale des établissement et de l'API entreprise,<2018-02-23 ven.>,D,
DataESR,,Installation et prise en mains des outils techniques,<2018-02-23 ven.>,I,
DataESR,,Découverte de matchID,<2018-02-23 ven.>,A,
DataESR,,Réunion métier pour comprendre problématique brevets,<2018-02-23 ven.>,MD,
EIG Link,Maintenance,Mise à dispo du serveur de calcul,<2018-02-23 ven.>,P,
EIG Link,,Participation session mentors,<2018-02-23 ven.>,M,
EIG Link,eig-link,Avancée sur eig-link,<2018-02-23 ven.>,P,
EIG Link,,Réunion technique aux Gobelins,<2018-02-23 ven.>,M,
EIG Link,Maintenance,Vidéo pour la prise en main serveur,<2018-02-23 ven.>,P,
Gobelins,,Lecture des analyses déjà réalisées par le MN,<2018-02-23 ven.>,AI,
Gobelins,,Découverte de nouvelles sources de données,<2018-02-23 ven.>,D,
Gobelins,,"Récolte des vidéos, textes existants",<2018-02-23 ven.>,C,
Gobelins,,Réflexion sur outil pour com interne sur le projet,<2018-02-23 ven.>,CM,
Gobelins,,Rencontre avec le prestataire s’occupant du logiciel de suivi,<2018-02-23 ven.>,MD,
Gobelins,,Accès au logiciel de suivi des collections,<2018-02-23 ven.>,D,
Hopkins,,Rencontre avec Fabien de matchID,<2018-02-23 ven.>,A,
Hopkins,Dataset labellisé,Exploration des données COSI,<2018-02-23 ven.>,DP,
Hopkins,1er matching,Test de matchID sur un dataset réduit,<2018-02-23 ven.>,P,
Hopkins,,Tour de l'étage des enquêteurs,<2018-02-23 ven.>,U,
Hopkins,,Installation du kanboard,<2018-02-23 ven.>,I,
Hopkins,,Achat tableaux blancs autocollants pour écrire sur les murs,<2018-02-23 ven.>,I,
Hopkins,,Débroussaillage d’autodocumentations python,<2018-02-23 ven.>,A,
Hopkins,,Rencontre autres personnels d’autres service,<2018-02-23 ven.>,M,
Hopkins,,Préparation mise au point en NLP dans l’équipe,<2018-02-23 ven.>,C,
Lab Santé,Simplex,Réunion avec DGOS,<2018-02-23 ven.>,MR,
Lab Santé,Distancier,Réunion  Distancier INSEE,<2018-02-23 ven.>,M,
Lab Santé,Pertinence,Réunion pertinence des soins,<2018-02-23 ven.>,M,
Lab Santé,Avis HAS,Passage à git pour extraction des avis HAS,<2018-02-23 ven.>,P,
Lab Santé,Avis HAS,Travaux sur l'extraction des avis HAS,<2018-02-23 ven.>,P,
Lab Santé,MicroSim & Benchmark SAS/R/Python,Implémenter R pour microsimulations de retraites,<2018-02-23 ven.>,P,
Lab Santé,Simplex,Débroussaillage Simplex données .dbf -> .csv,<2018-02-23 ven.>,P,
Lab Santé,Simplex,Débroussaillage Simplex schéma du code 10 scripts,<2018-02-23 ven.>,P,
Prédisauvetage,,Scraping de données sur les balises de signalisation en mer,<2018-02-23 ven.>,P,
Prédisauvetage,,Scraping de données sur les localisations des postes de plage SNSM,<2018-02-23 ven.>,P,
Prédisauvetage,,Cleaning de la base d'intervention 2017 des CROSS,<2018-02-23 ven.>,P,
Prédisauvetage,,Rendez-vous avec l'application [[http://www.navily.com/fr/][Navily]],<2018-02-23 ven.>,M,
Prédisauvetage,,Rédaction d'une convention type avec les SDIS,<2018-02-23 ven.>,P,
Prédisauvetage,,Déplacement à St Malo pour rencontrer l'équipe SI,<2018-02-23 ven.>,M,
Prévisecours,,Apprentissage Docker,<2018-02-23 ven.>,A,
Prévisecours,,Microservice upload de ficher,<2018-02-23 ven.>,P,
Prévisecours,,Appels pour obtenir de la data,<2018-02-23 ven.>,D,
Prévisecours,,fork de [[https://github.com/entrepreneur-interet-general/open-moulinette][open-moulinette]],<2018-02-23 ven.>,P,
Prévisecours,,Résolution pb DNS avec Cloudflare,<2018-02-23 ven.>,I,
Prévisecours,,Analyses statistiques sur données interventions,<2018-02-23 ven.>,P,
Prévisecours,,Création des aggrégats à la semaine,<2018-02-23 ven.>,P,
Prévisecours,,Aide interne sur informations réseaux du futur,<2018-02-23 ven.>,T,
Prévisecours,,Demande des données interventions avant 2016,<2018-02-23 ven.>,D,
Signaux Faibles,,Utilisation de [[https://github.com/tidyverse/dplyr/issues/3355][dplyr]] : fix bug mémoire,<2018-02-23 ven.>,P,
Signaux Faibles,,Installation du container,<2018-02-23 ven.>,I,
Signaux Faibles,,Inventaire des données,<2018-02-23 ven.>,D,
Signaux Faibles,,Première prédiction,<2018-02-23 ven.>,P,
Signaux Faibles,,Rencontre statisticienne DIRECCTE,<2018-02-23 ven.>,M,
Signaux Faibles,,COPIL région Bourgogne-Franche-Comté,<2018-02-23 ven.>,M,
Signaux Faibles,Modèle de données,Conception achevée,<2018-02-23 ven.>,P,
Signaux Faibles,,Présentation ppt sur le projet,<2018-02-23 ven.>,C,
SocialConnect,,Obtention de la suite Adobe par la DSI,<2018-02-23 ven.>,I,
SocialConnect,,Debrief et synthèse des 15 entretiens,<2018-02-23 ven.>,RP,
SocialConnect,,Définition des profils cibles pour V1 et V2,<2018-02-23 ven.>,U,
SocialConnect,,Priorisation des fonctionnalités V1,<2018-02-23 ven.>,P,
SocialConnect,,Benchmark identité graphique CIS,<2018-02-23 ven.>,P,
SocialConnect,,Réflexion sur la stratégie de communication / landing page,<2018-02-23 ven.>,C,
SocialConnect,,Étude du code dont on hérite,<2018-02-23 ven.>,P,
SocialConnect,,début du projet/repo [[https://github.com/entrepreneur-interet-general/SocialConnect_openscrapper][OpenScrapper]],<2018-02-23 ven.>,P,
SocialConnect,,test du statut de résident nomade au lll,<2018-02-23 ven.>,I,
Archifiltre,,Prise en main de notre VM,<2018-03-02 ven.>,I,
Archifiltre,,Réception et prise en main de nos PCs de dev,<2018-03-02 ven.>,I,
Archifiltre,,Nouvelle passe sur l'extraction de mails dans une archive PST,<2018-03-02 ven.>,P,
Archifiltre,,Premier outil de visualisation d'une arborescence système,<2018-03-02 ven.>,P,
Archifiltre,,Tests utilisateurs informels,<2018-03-02 ven.>,U,
Archifiltre,Site web vitrine,Début de site web vitrine,<2018-03-02 ven.>,P,
Archifiltre,,Point de fin du premier sprint,<2018-03-02 ven.>,M,
b@liseNAV,,Brainshomstorming roadmap et techniques,<2018-03-02 ven.>,P,
b@liseNAV,,Analyse des attributs S-57,<2018-03-02 ven.>,D,
b@liseNAV,,Mapping bases de données (Aladin - BDGS),<2018-03-02 ven.>,D,
b@liseNAV,,Modèle de données S-201,<2018-03-02 ven.>,D,
b@liseNAV,,Revue du démonstrateur Infoport,<2018-03-02 ven.>,P,
BrigadeNumérique,,Tests sur l'accueil numérique de la gendarmerie,<2018-03-02 ven.>,P,
BrigadeNumérique,,Organisation de la venue du Ministre de l'intérieur,<2018-03-02 ven.>,CM,
BrigadeNumérique,,Investigation approfondie des settings de VLC player,<2018-03-02 ven.>,A,
BrigadeNumérique,,Contact avec France connect,<2018-03-02 ven.>,M,
BrigadeNumérique,,RDV avec le service API de la Gendarmerie,<2018-03-02 ven.>,M,
BrigadeNumérique,,Prise de contact avec la développeuse de Pulsar,<2018-03-02 ven.>,M,
BrigadeNumérique,,Atelier sur les processus concerné par la prise de RV en ligne,<2018-03-02 ven.>,P,
BrigadeNumérique,,Voyage à Rennes pour un RV avec les magistrats,<2018-03-02 ven.>,M,
BrigadeNumérique,,Premières maquettes de l'outil de RV,<2018-03-02 ven.>,P,
CoachÉlèves,,Construction d'un document décrivant plusieur scénarios,<2018-03-02 ven.>,PM,
CoachÉlèves,,Discussion des scénarios mentor et Bastien,<2018-03-02 ven.>,M,
CoachÉlèves,,Discussion du projet d'occupation des sols,<2018-03-02 ven.>,M,
CoachÉlèves,,Rencontre pour discuter des données de la DNE,<2018-03-02 ven.>,M,
DataESR,,Plus besoin de se concentrer sur les pb d'intégration des données,<2018-03-02 ven.>,M,
DataESR,,Avancée sur la conception du modèle de données,<2018-03-02 ven.>,D,
DataESR,,Travail sur connexions entre ce modèle est base centrale des établissements,<2018-03-02 ven.>,D,
DataESR,,Construction d'une bdd avec méta données de publications,<2018-03-02 ven.>,P,
DataESR,,Point avec les mentors pour valider la roadmap,<2018-03-02 ven.>,M,
DataESR,,Demande de serveur reportée,<2018-03-02 ven.>,I,
EIG Link,csv2html,Outil de mise en forme d'un csv en HTML/JS avec datatables,<2018-03-02 ven.>,P,
EIG Link,Maintenance,Fin de la mise en place du serveur EIG,<2018-03-02 ven.>,P,
EIG Link,Maintenance,Installation d'une instance de Matomo,<2018-03-02 ven.>,P,
EIG Link,,Réunion scénario avec CoachÉlèves,<2018-03-02 ven.>,M,
Gobelins,,Débrief mentor et présentation phasage du projet,<2018-03-02 ven.>,M,
Gobelins,,Début d’organisation pour permettre l’opendata,<2018-03-02 ven.>,T,
Gobelins,,Installation : j’ai la lumière,<2018-03-02 ven.>,I,
Gobelins,,Outil de sensibilisation à notre travail,<2018-03-02 ven.>,CM,
Gobelins,,Questionnaire pour les usagers internes au MN,<2018-03-02 ven.>,U,
Gobelins,,Lecture des demandes d’usagers externes + Identification,<2018-03-02 ven.>,U,
Gobelins,,Prise de contact avec outil similaire (CNAP),<2018-03-02 ven.>,UM,
Gobelins,,Prise de contact avec détenteurs autres base de données,<2018-03-02 ven.>,DM,
Hopkins,,Test matching 1 MatchId sur dataset réduit,<2018-03-02 ven.>,P,
Hopkins,,Biblio évaluation d’entity resolution,<2018-03-02 ven.>,P,
Hopkins,,Evaluation matching 1,<2018-03-02 ven.>,P,
Hopkins,,"Discussion avec Samsoft, solution de matching",<2018-03-02 ven.>,A,
Hopkins,,Débug code de matching existant ([[https://github.com/ekzhu/datasketch/][datasketch]]),<2018-03-02 ven.>,P,
Hopkins,,VM (64Go) en cours d'obtention pour installer matchID,<2018-03-02 ven.>,I,
Hopkins,,Web app d'exploration des résultats de classification,<2018-03-02 ven.>,P,
Hopkins,,Obtenir une VM avec gitlab (et être sudoer),<2018-03-02 ven.>,S,
Hopkins,,Réparer install python 3 sur dataiku,<2018-03-02 ven.>,I,
Lab Santé,Avis HAS,Version stable pour l'extraction des médicaments,<2018-03-02 ven.>,P,
Lab Santé,Formation,Tuto Inscription GitLab et Utilisation GitLab via navigateur,<2018-03-02 ven.>,PTC,
Lab Santé,GUEPARD,Préparation présentation WebScraping pour la 1ère du GUEPARD,<2018-03-02 ven.>,P,
Lab Santé,Formation,Exploration existant pour faire une formation python,<2018-03-02 ven.>,P,
Lab Santé,MicroSim,Restitution à l'utilisateur final et appel du script .R depuis SAS avec pipe,<2018-03-02 ven.>,CP,
Lab Santé,MicroSim & Benchmark SAS/R/Python,Début pour équivalent python du code sur les microsimulations,<2018-03-02 ven.>,P,
Lab Santé,Imputation,Nouveau sujet imputation de valeurs manquantes dans l'enquête OC (WIP),<2018-03-02 ven.>,PM,
Lab Santé,VQS,Amélioration appli Shiny de restitution des enquêtes VQS (WIP),<2018-03-02 ven.>,PC,
Lab Santé,Formation,Découverte/amélioration appli Shiny « Condition de vie des enfants »,<2018-03-02 ven.>,AP,
Lab Santé,Simplex,Simplex passage de tcl-tk à Shiny (DONE),<2018-03-02 ven.>,P,
Lab Santé,Simplex,Simplex passage cartography à leaflet pour carto – besoin d’améliorer UX (WIP),<2018-03-02 ven.>,P,
Lab Santé,Simplex,"Simplex, choix meilleur outil optimisation des transports (WIP)",<2018-03-02 ven.>,P,
Lab Santé,SNDS,Galère sur la plateforme des données hospitalières,<2018-03-02 ven.>,CA,
Prédisauvetage,,Nettoyage des bases de données SNSM,<2018-03-02 ven.>,PD,
Prédisauvetage,,Croisement des bases citées précédemment,<2018-03-02 ven.>,PD,
Prédisauvetage,,Tour d'horizon applis de plaisance,<2018-03-02 ven.>,P,
Prédisauvetage,,Réalisation d'un PoC d'API pour diffusion des AVURNAV,<2018-03-02 ven.>,P,
Prédisauvetage,,Deuxième RDV avec acteur privé pour récupérer ses données,<2018-03-02 ven.>,DM,
Prédisauvetage,,Questions à l'observatoire de l'accidentologie en montagne,<2018-03-02 ven.>,AM,
Prédisauvetage,,Relance mise à disposition serveur + accès direct aux bases DAM,<2018-03-02 ven.>,D,
Prévisecours,,Récupération des données métiers depuis 2010,<2018-03-02 ven.>,D,
Prévisecours,,Travail sur les flux de normalisation de données métiers,<2018-03-02 ven.>,D,
Prévisecours,Dashboard,Customisation des matrices de confusion pour dashboard,<2018-03-02 ven.>,P,
Prévisecours,,Livraison d'un CR au métier pour expl. choix techniques,<2018-03-02 ven.>,P,
Prévisecours,,Récup données open data ISO périmètre 2017 pour 2010 à 2016,<2018-03-02 ven.>,D,
Prévisecours,,Draft de roadmap projet,<2018-03-02 ven.>,MP,
Prévisecours,,Recherche de data: Prises de nouveaux contacts,<2018-03-02 ven.>,DM,
Prévisecours,,Recherche de modèle similaire à PreviSecours,<2018-03-02 ven.>,UM,
Prévisecours,,Après-midi surprise avec un stagiaire de 3ème,<2018-03-02 ven.>,M,
Prévisecours,,1er draft pour un projet interne micro service d'upload,<2018-03-02 ven.>,PS,
Prévisecours,,Récupération de nos badges agents,<2018-03-02 ven.>,I,
Prévisecours,,Refactoring des données opendata,<2018-03-02 ven.>,P,
Prévisecours,,Ajout des données FINESS,<2018-03-02 ven.>,P,
Prévisecours,,Création [[http://previsecours.fr/previsecours-slides/][slides]] pour présenter le projet,<2018-03-02 ven.>,C,
Prévisecours,,Discussion sur nouveaux types de prédiction potentiels,<2018-03-02 ven.>,M,
Prévisecours,,Discussion avec meteofrance,<2018-03-02 ven.>,MD,
Prévisecours,,WebApp DSS pour explorer cartographie de données,<2018-03-02 ven.>,P,
Prévisecours,,Récupération données pollen RNSA,<2018-03-02 ven.>,D,
Signaux Faibles,,Prospection fichiers Banque de France et base Sirene,<2018-03-02 ven.>,D,
Signaux Faibles,,Upload dataset réutilisant base SIREN pour extraire changements de SIRET,<2018-03-02 ven.>,P,
Signaux Faibles,,Début de codage du nouveau modèle de données orienté document,<2018-03-02 ven.>,P,
Signaux Faibles,,Vérif. avec utilisateurs données produites par 1ère prédiction,<2018-03-02 ven.>,U,
Signaux Faibles,,Croisement SIRENE/DARES pour remplacer un algo humain de data quality,<2018-03-02 ven.>,P,
Signaux Faibles,,Installation/config post de travail + outils,<2018-03-02 ven.>,I,
SocialConnect,,"Sprint sur le projet OpenScraper, service public du scraping",<2018-03-02 ven.>,P,
SocialConnect,,Pédagogie avec la mentor : expliquer le stack technique,<2018-03-02 ven.>,TM,
SocialConnect,,Rencontre avec OpenDataFrance au LLL,<2018-03-02 ven.>,M,
SocialConnect,,Atelier comm sur le projet,<2018-03-02 ven.>,CMP,
SocialConnect,,Recherche et choix d'un univers visuel,<2018-03-02 ven.>,P,
SocialConnect,,Réalisation flyer et posters explicatifs du projet,<2018-03-02 ven.>,P,
SocialConnect,,Atelier nomenclature avec un autre groupe de partenaires,<2018-03-02 ven.>,MU,
Archifiltre,,Outil de visualisation avec retours utilisateur,<2018-03-09 ven.>,P,
Archifiltre,,Dév outil de détection des fichiers en doublons,<2018-03-09 ven.>,P,
Archifiltre,,Amélioration continue de archifiltre.com,<2018-03-09 ven.>,C,
Archifiltre,,Entretien avec potentielle future stagiaire,<2018-03-09 ven.>,M,
Archifiltre,,Réorganisation de l'espace de travail (Velleda!),<2018-03-09 ven.>,I,
b@liseNAV,,Codage mapping Aladin -> S-57 -> S-201 en JS,<2018-03-09 ven.>,P,
b@liseNAV,,Codage du modèle de donnée S-201 en C#,<2018-03-09 ven.>,P,
b@liseNAV,,Roadmap,<2018-03-09 ven.>,M,
b@liseNAV,,"Insertion dans la ""boucle"" des contributeurs de la norme S-201",<2018-03-09 ven.>,U,
b@liseNAV,,Commencement d’un module JS S-57/GeoJson to S-201/GML3,<2018-03-09 ven.>,P,
b@liseNAV,,RDV avec Christian Quest,<2018-03-09 ven.>,T,
BrigadeNumérique,,Présentation du projet de prise de RdV avec le dpt processus internes de la gendarmerie,<2018-03-09 ven.>,C,
BrigadeNumérique,,Rencontre du bureau de la mobilité et de la proximité numérique,<2018-03-09 ven.>,M,
BrigadeNumérique,,Tests des évolutions intégrées dans l'accueil numérique,<2018-03-09 ven.>,M,
BrigadeNumérique,,Intégration du chat sur les différentes sites de la gendarmerie,<2018-03-09 ven.>,M,
BrigadeNumérique,,Évolution des maquettes,<2018-03-09 ven.>,P,
BrigadeNumérique,,Réunion sur la refonte du logiciel de messagerie et agenda par la section travail collaboratif,<2018-03-09 ven.>,S,
BrigadeNumérique,,Investigation sur la possibilité d'interfaçage avec l'outil de prise de RdV,<2018-03-09 ven.>,S,
BrigadeNumérique,,Réunion au CROGend pour définir le procès de la BNum en cas de crise,<2018-03-09 ven.>,T,
BrigadeNumérique,,Planification journée de rencontre avec groupe de gendarmes pour cadrer l'outil de prise de RdV,<2018-03-09 ven.>,U,
CoachÉlèves,,Visite équipe DataESR pour retex sur leur solution,<2018-03-09 ven.>,A,
CoachÉlèves,,Proposition scénarios aux mentors et priorisation des pistes,<2018-03-09 ven.>,M,
CoachÉlèves,,Discussion des ressources dont nous avons besoin,<2018-03-09 ven.>,M,
CoachÉlèves,,RDV avec Urbaniste SI,<2018-03-09 ven.>,D,
CoachÉlèves,,RDV avec Chef de département SI,<2018-03-09 ven.>,D,
DataESR,,Réunion avec CoachElève,<2018-03-09 ven.>,C,
DataESR,,Modélisation de la future BDD,<2018-03-09 ven.>,P,
DataESR,,Dataviz des établissements d'enseignements supérieur,<2018-03-09 ven.>,P,
DataESR,,Benchmark des framework front,<2018-03-09 ven.>,T,
DataESR,,Réalisation des premiers mockups du MVP,<2018-03-09 ven.>,P,
EIG Link,,Travail sur la roadmap avec mentor puis LLL,<2018-03-09 ven.>,MP,
EIG Link,,Préparation de la revue de code du 14 mars,<2018-03-09 ven.>,M,
EIG Link,,Mini rapport d’étonnement,<2018-03-09 ven.>,P,
EIG Link,,Participation séminaire interne Étalab,<2018-03-09 ven.>,M,
EIG Link,,Réunion-canapé avec Julien pour OpenScraper,<2018-03-09 ven.>,M,
EIG Link,,Nouvelle page [[https://github.com/entrepreneur-interet-general/eig-link/blob/master/serveur.org][serveur.org]] sur eig-link,<2018-03-09 ven.>,P,
EIG Link,,Module ox-timeline.el pour produire des frises,<2018-03-09 ven.>,P,
EIG Link,,J’ai ma carte de cantine,<2018-03-09 ven.>,I,
EIG Link,,Réunion avec Framasoft pour Storify next,<2018-03-09 ven.>,M,
Gobelins,,Récolte de la base de données principale (SCOM),<2018-03-09 ven.>,D,
Gobelins,,Obtention poste ministère et bientôt accès à l’outil de gestion des collections,<2018-03-09 ven.>,I,
Gobelins,,Obtention / installation logiciels Adobe,<2018-03-09 ven.>,I,
Gobelins,,Formation à la tapisserie,<2018-03-09 ven.>,A,
Gobelins,,Visites + interview + compte rendu,<2018-03-09 ven.>,U,
Gobelins,,Prise de RDV pour récolter la base de données textile,<2018-03-09 ven.>,UD,
Gobelins,,Première ébauche pour la feuille de route,<2018-03-09 ven.>,M,
Gobelins,,Identification des personnes pour obtenir le nuancier informatisé,<2018-03-09 ven.>,U,
Gobelins,,Organisation du suivi de projet avec la direction,<2018-03-09 ven.>,M,
Gobelins,,première approche sur l’ouverture des données,<2018-03-09 ven.>,M,
Gobelins,,Identification des contacts au CNAP ayant participé à la mise en ligne des œuvres,<2018-03-09 ven.>,UM,
Hopkins,,Fin du tour des bureaux,<2018-03-09 ven.>,CU,
Hopkins,Données structurées,id unique pour chaque transaction,<2018-03-09 ven.>,P,
Hopkins,Données structurées,Recette de re-scoring des matchs,<2018-03-09 ven.>,P,
Hopkins,Données structurées,App Dataiku pour visualiser données en cours d'enquête,<2018-03-09 ven.>,P,
Hopkins,Données structurées,Etude des faux positifs du matching,<2018-03-09 ven.>,P,
Hopkins,Données structurées,Biblio “”Evaluating Entity Resolution Results”,<2018-03-09 ven.>,A,
Hopkins,Données structurées,Alignement de phrases,<2018-03-09 ven.>,P,
Hopkins,Données structurées,Définition d’une feuille de route,<2018-03-09 ven.>,P,
Hopkins,Texte,Présentation sur tableau des techniques modernes de NLP,<2018-03-09 ven.>,C,
Hopkins,Texte,Fin web app visualisation de classsification,<2018-03-09 ven.>,P,
Hopkins,Texte,Debrief conférence traduction automatique,<2018-03-09 ven.>,A,
Lab Santé,Imputation,Sujet Enquête OC : chgt données en entrée et proposition de nouvelles méthodo ML,<2018-03-09 ven.>,MAUP,
Lab Santé,Imputation,Sujet Enquête OC : check état de l’art package R Simputation,<2018-03-09 ven.>,APC,
Lab Santé,Simplex,"Simplex, doc état de l’art pour l’allocation des flux",<2018-03-09 ven.>,CP,
Lab Santé,Simplex,"Simplex, shiny app pour restitution",<2018-03-09 ven.>,P,
